image_id,xmin,ymin,xmax,ymax,class
1196.jpg,1,117,13,128,puncta
1196.jpg,12,60,24,72,puncta
1196.jpg,50,21,62,33,puncta
1196.jpg,94,119,106,128,puncta
1196.jpg,102,93,114,105,puncta
1196.jpg,108,55,120,67,puncta
966.jpg,1,92,12,103,puncta
966.jpg,12,118,24,128,puncta
966.jpg,24,0,36,11,puncta
966.jpg,34,40,46,51,puncta
966.jpg,46,106,57,117,puncta
966.jpg,64,77,75,89,puncta
966.jpg,74,115,86,127,puncta
966.jpg,78,47,89,58,puncta
966.jpg,80,93,92,105,puncta
966.jpg,84,73,95,84,puncta
966.jpg,94,50,105,61,puncta
966.jpg,96,120,108,128,puncta
966.jpg,97,43,108,55,puncta
966.jpg,99,19,111,31,puncta
966.jpg,120,93,128,105,puncta
412.jpg,0,36,6,48,puncta
412.jpg,0,18,11,30,puncta
412.jpg,13,32,25,44,puncta
412.jpg,21,21,33,33,puncta
412.jpg,25,41,37,53,puncta
412.jpg,50,45,62,57,puncta
412.jpg,78,25,89,37,puncta
412.jpg,89,59,101,71,puncta
412.jpg,98,24,110,36,puncta
412.jpg,104,60,116,72,puncta
412.jpg,108,94,120,106,puncta
1018.jpg,35,4,47,16,puncta
1018.jpg,46,70,58,82,puncta
1018.jpg,49,12,61,24,puncta
1018.jpg,54,3,65,14,puncta
1018.jpg,54,38,66,50,puncta
1018.jpg,63,38,75,50,puncta
1018.jpg,64,35,76,47,puncta
1018.jpg,76,10,88,22,puncta
1018.jpg,91,26,103,38,puncta
1570.jpg,0,110,9,122,puncta
1570.jpg,5,82,17,94,puncta
1570.jpg,7,43,19,55,puncta
1570.jpg,12,58,24,70,puncta
1570.jpg,14,77,26,88,puncta
1570.jpg,19,85,31,97,puncta
1570.jpg,25,69,37,80,puncta
1570.jpg,40,74,52,86,puncta
1570.jpg,43,23,55,35,puncta
1570.jpg,46,33,58,45,puncta
1570.jpg,64,102,76,114,puncta
1570.jpg,79,9,91,21,puncta
1570.jpg,85,66,97,78,puncta
1570.jpg,86,14,98,26,puncta
1570.jpg,105,44,117,56,puncta
081.jpg,0,70,9,82,puncta
081.jpg,0,116,10,128,puncta
081.jpg,7,91,19,102,puncta
081.jpg,14,86,25,98,puncta
081.jpg,15,116,27,128,puncta
081.jpg,40,0,52,9,puncta
081.jpg,64,94,76,106,puncta
081.jpg,65,108,77,120,puncta
081.jpg,74,61,86,73,puncta
081.jpg,83,68,95,80,puncta
081.jpg,91,111,102,123,puncta
081.jpg,111,30,123,42,puncta
543.jpg,0,30,9,42,puncta
543.jpg,15,21,27,33,puncta
543.jpg,17,30,28,41,puncta
543.jpg,20,36,32,48,puncta
543.jpg,55,110,67,122,puncta
543.jpg,71,43,83,55,puncta
543.jpg,75,48,87,60,puncta
1248.jpg,12,104,24,116,puncta
1248.jpg,13,94,25,106,puncta
1248.jpg,16,34,28,46,puncta
1248.jpg,17,85,29,97,puncta
1248.jpg,22,1,34,13,puncta
1248.jpg,23,79,35,91,puncta
1248.jpg,28,4,40,16,puncta
1248.jpg,31,36,43,48,puncta
1248.jpg,37,42,49,54,puncta
1248.jpg,41,50,53,62,puncta
