image_id,xmin,ymin,xmax,ymax,class
1196.bmp,1,117,13,128,puncta
1196.bmp,12,60,24,72,puncta
1196.bmp,50,21,62,33,puncta
1196.bmp,94,119,106,128,puncta
1196.bmp,102,93,114,105,puncta
1196.bmp,108,55,120,67,puncta
966.bmp,1,92,12,103,puncta
966.bmp,12,118,24,128,puncta
966.bmp,24,0,36,11,puncta
966.bmp,34,40,46,51,puncta
966.bmp,46,106,57,117,puncta
966.bmp,64,77,75,89,puncta
966.bmp,74,115,86,127,puncta
966.bmp,78,47,89,58,puncta
966.bmp,80,93,92,105,puncta
966.bmp,84,73,95,84,puncta
966.bmp,94,50,105,61,puncta
966.bmp,96,120,108,128,puncta
966.bmp,97,43,108,55,puncta
966.bmp,99,19,111,31,puncta
966.bmp,120,93,128,105,puncta
412.bmp,0,36,6,48,puncta
412.bmp,0,18,11,30,puncta
412.bmp,13,32,25,44,puncta
412.bmp,21,21,33,33,puncta
412.bmp,25,41,37,53,puncta
412.bmp,50,45,62,57,puncta
412.bmp,78,25,89,37,puncta
412.bmp,89,59,101,71,puncta
412.bmp,98,24,110,36,puncta
412.bmp,104,60,116,72,puncta
412.bmp,108,94,120,106,puncta
1018.bmp,35,4,47,16,puncta
1018.bmp,46,70,58,82,puncta
1018.bmp,49,12,61,24,puncta
1018.bmp,54,3,65,14,puncta
1018.bmp,54,38,66,50,puncta
1018.bmp,63,38,75,50,puncta
1018.bmp,64,35,76,47,puncta
1018.bmp,76,10,88,22,puncta
1018.bmp,91,26,103,38,puncta
1570.bmp,0,110,9,122,puncta
1570.bmp,5,82,17,94,puncta
1570.bmp,7,43,19,55,puncta
1570.bmp,12,58,24,70,puncta
1570.bmp,14,77,26,88,puncta
1570.bmp,19,85,31,97,puncta
1570.bmp,25,69,37,80,puncta
1570.bmp,40,74,52,86,puncta
1570.bmp,43,23,55,35,puncta
1570.bmp,46,33,58,45,puncta
1570.bmp,64,102,76,114,puncta
1570.bmp,79,9,91,21,puncta
1570.bmp,85,66,97,78,puncta
1570.bmp,86,14,98,26,puncta
1570.bmp,105,44,117,56,puncta
081.bmp,0,70,9,82,puncta
081.bmp,0,116,10,128,puncta
081.bmp,7,91,19,102,puncta
081.bmp,14,86,25,98,puncta
081.bmp,15,116,27,128,puncta
081.bmp,40,0,52,9,puncta
081.bmp,64,94,76,106,puncta
081.bmp,65,108,77,120,puncta
081.bmp,74,61,86,73,puncta
081.bmp,83,68,95,80,puncta
081.bmp,91,111,102,123,puncta
081.bmp,111,30,123,42,puncta
543.bmp,0,30,9,42,puncta
543.bmp,15,21,27,33,puncta
543.bmp,17,30,28,41,puncta
543.bmp,20,36,32,48,puncta
543.bmp,55,110,67,122,puncta
543.bmp,71,43,83,55,puncta
543.bmp,75,48,87,60,puncta
1248.bmp,12,104,24,116,puncta
1248.bmp,13,94,25,106,puncta
1248.bmp,16,34,28,46,puncta
1248.bmp,17,85,29,97,puncta
1248.bmp,22,1,34,13,puncta
1248.bmp,23,79,35,91,puncta
1248.bmp,28,4,40,16,puncta
1248.bmp,31,36,43,48,puncta
1248.bmp,37,42,49,54,puncta
1248.bmp,41,50,53,62,puncta
1248.bmp,46,79,58,91,puncta
1248.bmp,48,43,60,55,puncta
1248.bmp,56,104,68,116,puncta
1248.bmp,79,76,91,88,puncta
1248.bmp,81,83,93,95,puncta
1248.bmp,85,5,97,17,puncta
1248.bmp,87,117,99,128,puncta
1248.bmp,88,103,99,115,puncta
1248.bmp,90,9,102,21,puncta
1248.bmp,94,113,105,125,puncta
1248.bmp,104,77,116,89,puncta
1248.bmp,111,35,123,47,puncta
1248.bmp,119,0,128,8,puncta
702.bmp,0,0,6,10,puncta
702.bmp,1,0,12,9,puncta
702.bmp,2,7,13,18,puncta
702.bmp,13,0,24,6,puncta
702.bmp,27,59,39,70,puncta
702.bmp,39,44,51,56,puncta
702.bmp,60,16,71,28,puncta
702.bmp,64,9,76,21,puncta
702.bmp,65,22,77,33,puncta
702.bmp,68,31,80,42,puncta
702.bmp,120,63,128,75,puncta
727.bmp,13,15,25,26,puncta
727.bmp,18,103,30,115,puncta
727.bmp,25,87,37,99,puncta
727.bmp,32,80,44,92,puncta
727.bmp,54,78,66,90,puncta
727.bmp,72,57,83,68,puncta
727.bmp,115,99,126,110,puncta
1460.bmp,0,28,12,40,puncta
1460.bmp,15,36,27,48,puncta
1460.bmp,17,88,28,99,puncta
1460.bmp,18,104,30,116,puncta
1460.bmp,23,67,35,79,puncta
1460.bmp,25,55,37,67,puncta
1460.bmp,27,52,39,64,puncta
1460.bmp,30,33,42,45,puncta
1460.bmp,41,93,53,105,puncta
1460.bmp,41,67,53,79,puncta
1460.bmp,43,50,55,62,puncta
1460.bmp,48,109,59,120,puncta
1460.bmp,49,75,61,87,puncta
1460.bmp,53,1,65,13,puncta
1460.bmp,66,40,78,52,puncta
1460.bmp,67,97,79,109,puncta
1460.bmp,70,69,82,81,puncta
1460.bmp,74,80,86,92,puncta
1460.bmp,80,74,92,86,puncta
1460.bmp,80,103,92,115,puncta
1460.bmp,83,78,95,90,puncta
1460.bmp,84,33,96,45,puncta
1460.bmp,85,109,97,121,puncta
1460.bmp,87,42,98,53,puncta
1460.bmp,87,69,99,81,puncta
1460.bmp,88,82,99,94,puncta
1460.bmp,95,37,107,49,puncta
1460.bmp,95,7,107,19,puncta
1460.bmp,97,114,109,126,puncta
1460.bmp,103,80,115,92,puncta
1460.bmp,104,92,116,104,puncta
1460.bmp,105,41,117,53,puncta
1460.bmp,111,36,123,48,puncta
1460.bmp,113,28,125,40,puncta
1460.bmp,117,8,128,20,puncta
1358.bmp,0,24,8,36,puncta
1358.bmp,0,17,10,29,puncta
1358.bmp,1,93,13,105,puncta
1358.bmp,4,18,16,30,puncta
1358.bmp,7,3,19,15,puncta
1358.bmp,8,81,20,93,puncta
1358.bmp,16,26,28,38,puncta
1358.bmp,23,71,35,83,puncta
1358.bmp,28,63,40,75,puncta
1358.bmp,28,0,40,12,puncta
1358.bmp,32,18,44,30,puncta
1358.bmp,39,57,51,68,puncta
1358.bmp,43,98,55,110,puncta
1358.bmp,43,18,55,30,puncta
1358.bmp,52,87,64,99,puncta
1358.bmp,53,68,65,80,puncta
1358.bmp,55,79,67,91,puncta
1358.bmp,64,97,76,109,puncta
1358.bmp,64,35,76,47,puncta
1358.bmp,78,63,90,75,puncta
1358.bmp,112,39,124,51,puncta
1358.bmp,116,102,128,114,puncta
867.bmp,2,53,14,65,puncta
867.bmp,4,108,16,120,puncta
867.bmp,6,50,18,61,puncta
867.bmp,19,107,31,118,puncta
867.bmp,25,114,37,125,puncta
867.bmp,29,83,40,95,puncta
867.bmp,32,69,44,81,puncta
867.bmp,33,53,45,65,puncta
867.bmp,48,41,60,52,puncta
867.bmp,48,87,60,98,puncta
867.bmp,59,44,71,56,puncta
867.bmp,60,77,72,89,puncta
867.bmp,85,37,97,49,puncta
867.bmp,95,86,107,97,puncta
867.bmp,99,33,111,44,puncta
867.bmp,111,99,122,111,puncta
867.bmp,115,119,126,128,puncta
867.bmp,117,75,128,87,puncta
867.bmp,118,113,128,125,puncta
867.bmp,119,90,128,102,puncta
045.bmp,0,73,6,85,puncta
045.bmp,0,67,7,79,puncta
497.bmp,15,82,27,94,puncta
497.bmp,51,57,63,69,puncta
497.bmp,53,107,65,119,puncta
497.bmp,68,97,80,109,puncta
497.bmp,88,112,99,123,puncta
497.bmp,119,14,128,26,puncta
1544.bmp,2,10,14,22,puncta
1544.bmp,36,32,48,44,puncta
1544.bmp,43,119,55,128,puncta
1544.bmp,53,0,65,11,puncta
1544.bmp,61,75,73,87,puncta
1544.bmp,67,115,79,127,puncta
1544.bmp,69,93,81,105,puncta
1544.bmp,80,76,92,88,puncta
1544.bmp,100,10,112,22,puncta
1544.bmp,108,91,120,103,puncta
1544.bmp,110,16,122,28,puncta
1544.bmp,111,6,123,18,puncta
1544.bmp,118,78,128,90,puncta
644.bmp,26,45,38,56,puncta
644.bmp,56,46,68,58,puncta
644.bmp,65,6,77,18,puncta
644.bmp,70,19,82,31,puncta
1107.bmp,5,31,17,43,puncta
1107.bmp,105,59,117,71,puncta
011.bmp,75,77,87,89,puncta
011.bmp,86,113,98,125,puncta
1724.bmp,13,83,25,95,puncta
1724.bmp,43,4,55,15,puncta
1724.bmp,45,84,57,96,puncta
1724.bmp,49,68,61,80,puncta
1724.bmp,49,13,61,25,puncta
1724.bmp,55,56,67,68,puncta
1724.bmp,65,26,77,38,puncta
1724.bmp,72,39,84,51,puncta
1724.bmp,75,3,87,15,puncta
1724.bmp,75,43,87,55,puncta
1724.bmp,89,102,101,114,puncta
1724.bmp,90,30,102,42,puncta
1724.bmp,99,89,111,101,puncta
1724.bmp,100,27,112,39,puncta
1724.bmp,104,4,116,16,puncta
1724.bmp,104,103,116,115,puncta
1724.bmp,110,35,122,47,puncta
1724.bmp,111,24,123,36,puncta
1724.bmp,117,2,128,14,puncta
1724.bmp,117,8,128,20,puncta
858.bmp,2,23,14,34,puncta
858.bmp,3,38,14,49,puncta
858.bmp,25,4,37,16,puncta
858.bmp,26,18,37,29,puncta
858.bmp,33,20,44,31,puncta
858.bmp,37,15,48,27,puncta
858.bmp,41,34,52,45,puncta
858.bmp,53,36,65,48,puncta
858.bmp,63,10,75,22,puncta
858.bmp,63,20,75,31,puncta
858.bmp,65,88,77,100,puncta
858.bmp,72,98,83,110,puncta
858.bmp,72,9,84,21,puncta
